P3
tDCS_AI_wEffector
02/11/2013	13:59:52

Participant	Participant	Block	Trial	Event	Participant		Pressed Or	Correct	Error	Reaction	Movement_Onset
Group	Name	Name	Name	Name	Response	Key	Released	Response	Code	Time	(Trial Variable)	Finger	Congruence	Repeated	Correct
Main Group	P3	AI_Practice	AI_Practice, 6	AI_First_Stage_practice (6, m2con.bmp)				(based on code value)	NR	0		2	3	1	
Main Group	P3	AI_Practice	AI_Practice, 6	AI_Second_Stage_practice (6, m3con.bmp)				(based on code value)	NR	0		2	3	1	
Main Group	P3	AI_Practice	AI_Practice, 6	AI_Final_Stage_practice (6, m4con.bmp)	middle	b	Released	(based on code value)	C	508		2	3	1	
Main Group	P3	AI_Practice	AI_Practice, 6	AI_Blue_practice (6, m5baseinc.bmp)		b	Pressed	(based on code value)	E	1060		2	2	1	
Main Group	P3	AI_Practice	AI_Practice, 9	AI_First_Stage_practice (9, i2base.bmp)				(based on code value)	NR	0		1	0	1	
Main Group	P3	AI_Practice	AI_Practice, 9	AI_Second_Stage_practice (9, i3base.bmp)				(based on code value)	NR	0		1	0	1	
Main Group	P3	AI_Practice	AI_Practice, 9	AI_Final_Stage_practice (9, i4base.bmp)	index	v	Released	(based on code value)	C	557		1	0	1	
Main Group	P3	AI_Practice	AI_Practice, 9	AI_Blue_practice (9, i5inc.bmp)		v	Pressed	(based on code value)	E	1157		1	4	1	
Main Group	P3	AI_Practice	AI_Practice, 5	AI_First_Stage_practice (5, i2con.bmp)				(based on code value)	NR	0		1	3	1	
Main Group	P3	AI_Practice	AI_Practice, 5	AI_Second_Stage_practice (5, i3con.bmp)				(based on code value)	NR	0		1	3	1	
Main Group	P3	AI_Practice	AI_Practice, 5	AI_Final_Stage_practice (5, i4con.bmp)	index	v	Released	(based on code value)	C	468		1	3	1	
Main Group	P3	AI_Practice	AI_Practice, 5	AI_Blue_practice (5, i5baseinc.bmp)		v	Pressed	(based on code value)	E	1028		1	2	1	
Main Group	P3	AI_Practice	AI_Practice, 10	AI_First_Stage_practice (10, m2base.bmp)				(based on code value)	NR	0		2	0	1	
Main Group	P3	AI_Practice	AI_Practice, 10	AI_Second_Stage_practice (10, m3base.bmp)				(based on code value)	NR	0		2	0	1	
Main Group	P3	AI_Practice	AI_Practice, 10	AI_Final_Stage_practice (10, m4base.bmp)				(based on code value)	NR	0		2	0	1	
Main Group	P3	AI_Practice	AI_Practice, 10	AI_Blue_practice (10, m5inc.bmp)	middle	b	Released	(based on code value)	C	592		2	4	1	
Main Group	P3	AI_Practice	AI_Practice, 10	AI_Blue_practice (10, m5inc.bmp)		b	Pressed	(based on code value)	E	1184		2	4	1	
Main Group	P3	AI_Practice	AI_Practice, 8	AI_First_Stage_practice (8, m2inc.bmp)				(based on code value)	NR	0		2	4	1	
Main Group	P3	AI_Practice	AI_Practice, 8	AI_Second_Stage_practice (8, m3inc.bmp)				(based on code value)	NR	0		2	4	1	
Main Group	P3	AI_Practice	AI_Practice, 8	AI_Final_Stage_practice (8, m4inc.bmp)	middle	b	Released	(based on code value)	C	498		2	4	1	
Main Group	P3	AI_Practice	AI_Practice, 8	AI_Blue_practice (8, m5con.bmp)		b	Pressed	(based on code value)	E	1098		2	3	1	
Main Group	P3	AI_Practice	AI_Practice, 1	AI_First_Stage_practice (1, i2basecon.bmp)				(based on code value)	NR	0		1	1	1	
Main Group	P3	AI_Practice	AI_Practice, 1	AI_Second_Stage_practice (1, i3basecon.bmp)				(based on code value)	NR	0		1	1	1	
Main Group	P3	AI_Practice	AI_Practice, 1	AI_Final_Stage_practice (1, i4basecon.bmp)	index	v	Released	(based on code value)	C	500		1	1	1	
Main Group	P3	AI_Practice	AI_Practice, 1	AI_Blue_practice (1, i5base.bmp)		v	Pressed	(based on code value)	E	1084		1	0	1	
Main Group	P3	AI_Practice	AI_Practice, 3	AI_First_Stage_practice (3, i2baseinc.bmp)				(based on code value)	NR	0		1	2	1	
Main Group	P3	AI_Practice	AI_Practice, 3	AI_Second_Stage_practice (3, i3baseinc.bmp)				(based on code value)	NR	0		1	2	1	
Main Group	P3	AI_Practice	AI_Practice, 3	AI_Final_Stage_practice (3, i4baseinc.bmp)				(based on code value)	NR	0		1	2	1	
Main Group	P3	AI_Practice	AI_Practice, 3	AI_Blue_practice (3, i5basecon.bmp)	index	v	Released	(based on code value)	C	655		1	1	1	
Main Group	P3	AI_Practice	AI_Practice, 3	AI_Blue_practice (3, i5basecon.bmp)		v	Pressed	(based on code value)	E	1247		1	1	1	
Main Group	P3	AI_Practice	AI_Practice, 2	AI_First_Stage_practice (2, m2basecon.bmp)				(based on code value)	NR	0		2	1	1	
Main Group	P3	AI_Practice	AI_Practice, 2	AI_Second_Stage_practice (2, m3basecon.bmp)				(based on code value)	NR	0		2	1	1	
Main Group	P3	AI_Practice	AI_Practice, 2	AI_Final_Stage_practice (2, m4basecon.bmp)	middle	b	Released	(based on code value)	C	428		2	1	1	
Main Group	P3	AI_Practice	AI_Practice, 2	AI_Blue_practice (2, m5base.bmp)		b	Pressed	(based on code value)	E	988		2	0	1	
Main Group	P3	AI_Practice	AI_Practice, 7	AI_First_Stage_practice (7, i2inc.bmp)				(based on code value)	NR	0		1	4	1	
Main Group	P3	AI_Practice	AI_Practice, 7	AI_Second_Stage_practice (7, i3inc.bmp)				(based on code value)	NR	0		1	4	1	
Main Group	P3	AI_Practice	AI_Practice, 7	AI_Final_Stage_practice (7, i4inc.bmp)	index	v	Released	(based on code value)	C	402		1	4	1	
Main Group	P3	AI_Practice	AI_Practice, 7	AI_Blue_practice (7, i5con.bmp)		v	Pressed	(based on code value)	E	1066		1	3	1	
Main Group	P3	AI_Practice	AI_Practice, 4	AI_First_Stage_practice (4, m2baseinc.bmp)				(based on code value)	NR	0		2	2	1	
Main Group	P3	AI_Practice	AI_Practice, 4	AI_Second_Stage_practice (4, m3baseinc.bmp)				(based on code value)	NR	0		2	2	1	
Main Group	P3	AI_Practice	AI_Practice, 4	AI_Final_Stage_practice (4, m4baseinc.bmp)				(based on code value)	NR	0		2	2	1	
Main Group	P3	AI_Practice	AI_Practice, 4	AI_Blue_practice (4, m5basecon.bmp)	middle	b	Released	(based on code value)	C	591		2	1	1	
Main Group	P3	AI_Practice	AI_Practice, 4	AI_Blue_practice (4, m5basecon.bmp)		b	Pressed	(based on code value)	E	1119		2	1	1	
Main Group	P3	AI_Block	AI_Trial, 1	AI_First_Stage (1, i2basecon.bmp)				(based on code value)	NR	0		1	1	1	
